Année;Mois;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet (min);Nombre de circulations prévues;Nombre de trains annulés;;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ (min);Retard moyen de tous les trains au départ (min);;Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée (min);Retard moyen de tous les trains à l'arrivée (min);;% trains en retard pour causes externes (météo, obstacles, colis suspects, malveillance, mouvements sociaux, etc.);% trains en retard à cause infrastructure ferroviaire (maintenance, travaux);% trains en retard à cause gestion trafic (circulation sur ligne ferroviaire, interactions réseaux);% trains en retard à cause matériel roulant;% trains en retard à cause gestion en gare et réutilisation de matériel;% trains en retard à cause prise en compte voyageurs (affluence, gestions PSH, correspondances);Nombre trains en retard > 15min;Retard moyen trains en retard > 15min;Nombre trains en retard > 30min;Nombre trains en retard > 60min;Période;Retard pour causes externes;Retard à cause infrastructure ferroviaire;Retard à cause gestion trafic;Retard à cause matériel roulant;Retard à cause gestion en gare et réutilisation de matériel;Retard à cause prise en compte voyageurs
2015;1.0;National;MARSEILLE ST CHARLES;LYON PART DIEU;100.388994307;527.0;0.0;;62.0;30.5967741935;3.88235294118;;79.0;38.1139240506;7.88614800759;;0.25;0.161764705882;0.161764705882;0.147058823529;0.191176470588;0.0882352941176;50.0;52.54;27.0;12.0;2015-01;25.0;16.1764705882;16.1764705882;14.705882352899998;19.1176470588;8.823529411760001
2015;1.0;National;PARIS NORD;LILLE;63.6611018364;600.0;1.0;;33.0;17.1818181818;1.16026711185;;59.0;14.186440678;1.67445742905;;0.160714285714;0.285714285714;0.142857142857;0.107142857143;0.214285714286;0.0892857142857;19.0;25.4736842105;5.0;1.0;2015-01;16.071428571400002;28.5714285714;14.2857142857;10.714285714299999;21.428571428599998;8.928571428569999
2015;1.0;International;PARIS LYON;ITALIE;259.620689655;87.0;0.0;;4.0;13.25;0.896551724138;;13.0;28.3846153846;6.50574712644;;0.0459770114943;0.0459770114943;0.0;0.0114942528736;0.0;0.0344827586207;13.0;28.3846154;3.0;1.0;2015-01;4.59770114943;4.59770114943;0.0;1.14942528736;0.0;3.44827586207
2015;1.0;National;ARRAS;PARIS NORD;55.6055900621;322.0;0.0;;23.0;13.8695652174;1.56211180124;;51.0;14.431372549;1.42546583851;;0.0625;0.520833333333;0.25;0.104166666667;0.0625;0.0;12.0;31.4166666667;4.0;1.0;2015-01;6.25;52.0833333333;25.0;10.4166666667;6.25;0.0
2015;1.0;International;PARIS EST;FRANCFORT;99.4102564103;78.0;0.0;;2.0;8.0;0.384615384615;;15.0;21.8;5.44871794872;;0.0;0.8;0.0;0.2;0.0;0.0;10.0;25.9;3.0;0.0;2015-01;0.0;80.0;0.0;20.0;0.0;0.0
2015;1.0;International;PARIS LYON;LAUSANNE;178.401709402;117.0;0.0;;9.0;21.4444444444;1.75213675214;;11.0;36.7272727273;5.52991452991;;;;;;;;10.0;39.3;6.0;2.0;2015-01;;;;;;
2015;1.0;International;PARIS LYON;ZURICH;141.964285714;140.0;0.0;;13.0;26.5384615385;2.65714285714;;15.0;33.7333333333;4.65714285714;;;;;;;;9.0;48.4444444;5.0;1.0;2015-01;;;;;;
2015;1.0;National;BELLEGARDE (AIN);PARIS LYON;164.496794872;158.0;2.0;;30.0;19.4;5.14743589744;;17.0;46.7647058824;4.21153846154;;0.0625;0.3125;0.3125;0.0625;0.1875;0.0625;14.0;54.2142857143;8.0;4.0;2015-01;6.25;31.25;31.25;6.25;18.75;6.25
2015;1.0;National;CHAMBERY CHALLES LES EAUX;PARIS LYON;182.088353414;250.0;1.0;;58.0;15.8793103448;4.61445783133;;31.0;33.9032258065;3.9437751004;;0.379310344828;0.172413793103;0.172413793103;0.103448275862;0.103448275862;0.0689655172414;27.0;36.8888888889;11.0;4.0;2015-01;37.9310344828;17.2413793103;17.2413793103;10.344827586200001;10.344827586200001;6.89655172414
2015;1.0;National;LE CREUSOT MONTCEAU MONTCHANIN;PARIS LYON;79.9066985646;209.0;0.0;;25.0;11.72;2.00956937799;;25.0;13.84;0.904306220096;;0.260869565217;0.130434782609;0.217391304348;0.130434782609;0.217391304348;0.0434782608696;8.0;23.625;1.0;0.0;2015-01;26.0869565217;13.043478260899999;21.7391304348;13.043478260899999;21.7391304348;4.3478260869600005
2015;1.0;National;ANGERS SAINT LAUD;PARIS MONTPARNASSE;98.8571428571;435.0;1.0;;42.0;9.52380952381;1.75806451613;;24.0;22.0;1.69585253456;;0.291666666667;0.375;0.166666666667;0.0416666666667;0.0833333333333;0.0416666666667;14.0;27.7142857143;2.0;1.0;2015-01;29.166666666699996;37.5;16.6666666667;4.16666666667;8.33333333333;4.16666666667
2015;1.0;National;PARIS LYON;NIMES;177.905956113;320.0;1.0;;18.0;17.0555555556;1.12225705329;;34.0;32.8529411765;5.02821316614;;0.41935483871;0.193548387097;0.129032258065;0.0967741935484;0.129032258065;0.0322580645161;22.0;44.0454545455;12.0;6.0;2015-01;41.935483871;19.3548387097;12.903225806499998;9.67741935484;12.903225806499998;3.22580645161
2015;1.0;National;PARIS EST;REIMS;47.1737089202;213.0;0.0;;12.0;18.0833333333;1.17840375587;;19.0;15.0;2.0985915493;;0.117647058824;0.176470588235;0.235294117647;0.235294117647;0.117647058824;0.117647058824;6.0;28.8333333333;2.0;0.0;2015-01;11.764705882400001;17.6470588235;23.5294117647;23.5294117647;11.764705882400001;11.764705882400001
2015;1.0;National;REIMS;PARIS EST;46.8536585366;205.0;0.0;;2.0;65.0;0.760975609756;;9.0;35.8888888889;0.60487804878;;0.285714285714;0.285714285714;0.285714285714;0.142857142857;0.0;0.0;4.0;70.75;3.0;3.0;2015-01;28.5714285714;28.5714285714;28.5714285714;14.2857142857;0.0;0.0
2015;1.0;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;337.861445783;168.0;2.0;;7.0;21.7142857143;1.11445783133;;17.0;77.8823529412;7.74096385542;;0.4;0.0;0.133333333333;0.266666666667;0.2;0.0;17.0;77.8823529412;13.0;7.0;2015-01;40.0;0.0;13.333333333299999;26.6666666667;20.0;0.0
2015;1.0;National;ANGOULEME;PARIS MONTPARNASSE;155.541916168;335.0;1.0;;45.0;24.6222222222;4.05688622754;;36.0;45.1944444444;4.32634730539;;0.30303030303;0.242424242424;0.242424242424;0.0606060606061;0.0606060606061;0.0909090909091;31.0;50.3225806452;20.0;10.0;2015-01;30.303030303;24.242424242400002;24.242424242400002;6.06060606061;6.06060606061;9.09090909091
2015;1.0;National;PARIS MONTPARNASSE;ANGOULEME;155.835463259;313.0;0.0;;6.0;23.1666666667;0.610223642173;;24.0;42.9166666667;3.7731629393;;0.333333333333;0.277777777778;0.166666666667;0.222222222222;0.0;0.0;17.0;55.4117647059;10.0;5.0;2015-01;33.333333333300004;27.7777777778;16.6666666667;22.2222222222;0.0;0.0
